Account,Region,Impl Partner,AWUs
EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA S.A. - DATAPREV,Brazil,Direct,11282796
Prodesp - Empresa de TI do Estado de SÃ£o Paulo_PPT,Brazil,ORANGEDOOR IT,2520035
Falabella Tecnologia Corporativa SpA,Growth,CALEUFU,2050617
"ComunicaciÃ³n Celular, S.A. (Org B2C Industries)",Growth,Direct,1107910
Banco Daycoval S/A,Brazil,WPP Agency,611125
"Concesionaria Vuela CompaÃ±Ã­a de AviaciÃ³n, S.A.P.I. de C.V.",Mexico,Orange Digital CX,610103
Arcos Dourados ComÃ©rcio de Alimentos S.A.(Org 2),Brazil,COMPASS.UOL,590282
"Operadora de Servicios Paquetexpress, SAPI de C.V.",Mexico,Freeway,564811
Banco Agibank S.A,Brazil,COMPASS.UOL,552227
Privalia Brasil S.A.,Brazil,Direct,470900
PEFISA SA CREDITO FINANCIAMENTO E INVESTIMENTO,Brazil,Sottelli,425352
iFood.com AgÃªncia de Restaurantes Online S.A (New Org),Brazil,COMPASS.UOL,414264
iFood.com Agencia de Restaurantes Online S.A.,Brazil,COMPASS.UOL,411640
ITA PECAS PARA VEICULOS COMERCIO E SERVICOS LTDA.,Brazil,Direct,350940
GLOBO COMUNICACAO E PARTICIPACOES S/A - D2C - ID 355073,Brazil,COMPASS.UOL,283259
COTO,Growth,C-Tech,102300
